Year,County,Value
2016,HANCOCK,172.4
2016,HENDRICKS,178.8
2016,HOWARD,192.7
2016,JOHNSON,160.9
2016,MADISON,181.1
2016,MORGAN,166
2016,OTHER (COMBINED) COUNTIES,178.7
2016,RUSH,188.8
2016,SHELBY,165
2016,TIPTON,198.5
2016,BLACKFORD,173.9
2016,DELAWARE,165
2016,FAYETTE,173.2
2016,HENRY,177.6
2016,JAY,167.3
2016,RANDOLPH,165.8
2016,UNION,177.1
2016,WAYNE,167.2
2016,CARROLL,197.8
2016,CASS,189.6
2016,ELKHART,158.7
2016,FULTON,176.7
2016,KOSCIUSKO,164.8
2016,MARSHALL,169
2016,MIAMI,167.2
2016,ST. JOSEPH,149.2
2016,WABASH,177.3
2016,ADAMS,159.5
2016,ALLEN,157.9
2016,DE KALB,146.4
2016,LAGRANGE,134.1
2016,NOBLE,157.1
2016,OTHER (COMBINED) COUNTIES,177.3
2016,STEUBEN,147.6
2016,WHITLEY,161.2
2016,BENTON,199.2
2016,JASPER,180.1
2016,LA PORTE,147.9
2016,LAKE,177.4
2016,NEWTON,204.7
2016,PORTER,173.3
2016,PULASKI,158.8
2016,STARKE,142.7
2016,WHITE,189.2
2016,FLOYD,128.6
2016,HARRISON,149.8
2016,JACKSON,161.1
2016,LAWRENCE,144.6
2016,MONROE,160.7
2016,ORANGE,162.3
2016,OTHER (COMBINED) COUNTIES,126.3
2016,WASHINGTON,147.8
2016,CLARK,140.5
2016,DEARBORN,162.1
2016,FRANKLIN,175.3
2016,JEFFERSON,148.8
2016,JENNINGS,156.6
2016,OHIO,150
2016,RIPLEY,157.9
2016,SCOTT,142.2
2016,SWITZERLAND,158.2
2016,DAVIESS,171.9
2016,DUBOIS,143.3
2016,GIBSON,161.7
2016,GREENE,156
2016,KNOX,169.7
2016,MARTIN,160.7
2016,PIKE,146.5
2016,POSEY,144
2016,SPENCER,149.1
2016,SULLIVAN,164.1
2016,VANDERBURGH,154
2016,WARRICK,134.6
2016,FOUNTAIN,191.8
2016,MONTGOMERY,200
2016,OTHER (COMBINED) COUNTIES,182.7
2016,OWEN,160.5
2016,PARKE,182.8
2016,VERMILLION,197.5
2016,WARREN,212.3
2015,BARTHOLOMEW,161
2015,BOONE,136.5
2015,CLINTON,146.6
2015,DECATUR,177.9
2015,GRANT,135.1
2015,HAMILTON,145.4
2015,HANCOCK,149.9
2015,HENDRICKS,149.7
2015,HOWARD,160.4
2015,JOHNSON,152
2015,MADISON,136.3
2015,MARION,167.8
2015,MORGAN,155.4
2015,RUSH,169.7
2015,SHELBY,157.2
2015,TIPTON,173.4
2015,BLACKFORD,117.5
2015,DELAWARE,130.1
2015,FAYETTE,181.5
2015,HENRY,158
2015,JAY,108.3
2015,RANDOLPH,144.8
2015,UNION,174
2015,WAYNE,161.2
2015,CARROLL,157.2
2015,CASS,129.4
2015,ELKHART,154.7
2015,FULTON,142.1
2015,KOSCIUSKO,170.9
2015,MARSHALL,143.7
2015,MIAMI,138.6
2015,ST. JOSEPH,151.5
2015,WABASH,135.3
2015,ADAMS,103.5
2015,ALLEN,120.7
2015,HUNTINGTON,123.1
2015,LAGRANGE,150
2015,NOBLE,163.1
2015,OTHER (COMBINED) COUNTIES,159.6
2015,WELLS,112.5
